dimension;numBytes;tsecMeasure;tsecPredict;errorPerc;numSlaves
300;720.000;2,091;1,984;-5,09;1
600;2.880.000;16,09;16,091;0,01;1
900;6.480.000;51,365;51,653;0,56;1
1200;11.520.000;264,217;264,029;-0,07;1
300;720.000;1,234;1,227;-0,55;2
600;2.880.000;8,777;9,184;4,63;2
900;6.480.000;26,747;28,505;6,57;2
1200;11.520.000;134,93;135,85;0,68;2
300;720.000;0,889;0,915;2,92;4
600;2.880.000;5,639;6,017;6,68;4
900;6.480.000;16,143;17,584;8,92;4
1200;11.520.000;72,289;72,928;0,88;4
300;720.000;0,807;0,714;-11,54;6
600;2.880.000;4,701;4,718;0,36;6
900;6.480.000;12,822;13,457;4,95;6
1200;11.520.000;51,818;51,123;-1,34;6
300;720.000;0,834;0,698;-16,27;10
600;2.880.000;4,445;4,264;-4,08;10
900;6.480.000;11,654;11,473;-1,55;10
1200;11.520.000;37,698;36,026;-4,43;10
300;720.000;0,892;0,695;-22,04;16
600;2.880.000;4,609;4,206;-8,73;16
900;6.480.000;11,444;10,876;-4,96;16
1200;11.520.000;31,38;28,502;-9,17;16
